Area,MTU,Fossil Gas  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|SE3,01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST),0,824,5841,892,0,1062
BZN|SE3,01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST),0,818,5842,851,0,999
BZN|SE3,01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST),0,818,5839,858,0,958
BZN|SE3,01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST),0,838,5839,859,0,888
BZN|SE3,01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST),0,842,5840,856,0,788
BZN|SE3,01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST),0,841,5839,880,0,734
BZN|SE3,01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST),0,868,5839,913,0,646
BZN|SE3,01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST),0,903,5840,987,0,564
BZN|SE3,01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST),0,920,5840,1021,0,471
BZN|SE3,01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST),0,926,5840,1028,1,397
BZN|SE3,01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST),0,944,5840,1082,4,307
BZN|SE3,01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST),0,953,5884,1107,7,252
BZN|SE3,01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST),0,963,6062,1111,6,230
BZN|SE3,01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST),0,965,6208,1113,4,221
BZN|SE3,01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST),0,977,6275,1112,1,270
BZN|SE3,01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST),0,1103,6275,1113,0,373
BZN|SE3,01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST),0,1252,6329,1113,0,537
BZN|SE3,01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST),0,1262,6344,1125,0,739
BZN|SE3,01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST),0,1262,6344,1126,0,972
BZN|SE3,01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST),0,1252,6349,1125,0,1173
BZN|SE3,01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST),0,1227,6353,1123,0,1441
BZN|SE3,01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST),0,1073,6354,1124,0,1686
BZN|SE3,01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST),0,925,6354,1115,0,1847
BZN|SE3,01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST),0,861,6356,1036,0,1917
BZN|SE3,02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST),0,801,6359,944,0,1955
BZN|SE3,02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST),0,782,6357,878,0,1834
BZN|SE3,02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST),0,774,6359,828,0,1724
BZN|SE3,02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST),0,782,6357,829,0,1611
BZN|SE3,02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST),0,781,6359,838,0,1471
BZN|SE3,02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST),0,782,6360,850,0,1402
BZN|SE3,02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST),0,819,6361,854,0,1318
BZN|SE3,02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST),0,860,6360,875,0,1268
BZN|SE3,02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST),0,889,6361,913,0,1277
BZN|SE3,02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST),0,920,6360,978,0,1282
BZN|SE3,02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST),0,963,6359,1029,1,1274
BZN|SE3,02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST),0,968,6359,1038,2,1239
BZN|SE3,02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST),0,968,6359,1040,2,1229
BZN|SE3,02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST),0,964,6360,1036,1,1204
BZN|SE3,02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST),0,974,6387,1042,0,1165
BZN|SE3,02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST),0,1065,6412,999,0,1113
BZN|SE3,02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST),0,1072,6414,1046,0,1002
BZN|SE3,02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST),0,1108,6413,1063,0,916
BZN|SE3,02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST),0,1092,6414,1047,0,878
BZN|SE3,02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST),0,1021,6414,1055,0,839
BZN|SE3,02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST),0,881,6413,987,0,839
BZN|SE3,02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST),0,837,6414,955,0,887
BZN|SE3,02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST),0,810,6413,964,0,973
BZN|SE3,02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST),0,784,6413,936,0,1030
BZN|SE3,03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST),0,791,6411,918,0,1109
BZN|SE3,03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST),0,791,6411,919,0,1170
