"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SE3","Actual Total Load [MW] - BZN|SE3"
"01.01.2022 00:00 - 01.01.2022 01:00","9577","9685"
"01.01.2022 01:00 - 01.01.2022 02:00","9483","9612"
"01.01.2022 02:00 - 01.01.2022 03:00","9435","9601"
"01.01.2022 03:00 - 01.01.2022 04:00","9402","9552"
"01.01.2022 04:00 - 01.01.2022 05:00","9453","9449"
"01.01.2022 05:00 - 01.01.2022 06:00","9617","9614"
"01.01.2022 06:00 - 01.01.2022 07:00","9883","9920"
"01.01.2022 07:00 - 01.01.2022 08:00","10212","10269"
"01.01.2022 08:00 - 01.01.2022 09:00","10465","10534"
"01.01.2022 09:00 - 01.01.2022 10:00","10667","10803"
"01.01.2022 10:00 - 01.01.2022 11:00","10997","11147"
"01.01.2022 11:00 - 01.01.2022 12:00","11301","11281"
"01.01.2022 12:00 - 01.01.2022 13:00","11472","11219"
"01.01.2022 13:00 - 01.01.2022 14:00","11608","11238"
"01.01.2022 14:00 - 01.01.2022 15:00","11829","11394"
"01.01.2022 15:00 - 01.01.2022 16:00","12223","11889"
"01.01.2022 16:00 - 01.01.2022 17:00","12541","12003"
"01.01.2022 17:00 - 01.01.2022 18:00","12644","12140"
"01.01.2022 18:00 - 01.01.2022 19:00","12576","12095"
"01.01.2022 19:00 - 01.01.2022 20:00","12356","11778"
"01.01.2022 20:00 - 01.01.2022 21:00","12045","11484"
"01.01.2022 21:00 - 01.01.2022 22:00","11700","11245"
"01.01.2022 22:00 - 01.01.2022 23:00","11284","11074"
"01.01.2022 23:00 - 02.01.2022 00:00","10912","10872"
"02.01.2022 00:00 - 02.01.2022 01:00","10491","10578"
"02.01.2022 01:00 - 02.01.2022 02:00","10234","10245"
"02.01.2022 02:00 - 02.01.2022 03:00","10068","10022"
"02.01.2022 03:00 - 02.01.2022 04:00","9962","9765"
"02.01.2022 04:00 - 02.01.2022 05:00","9962","9623"
"02.01.2022 05:00 - 02.01.2022 06:00","10037","9631"
"02.01.2022 06:00 - 02.01.2022 07:00","10232","9719"
"02.01.2022 07:00 - 02.01.2022 08:00","10504","9942"
"02.01.2022 08:00 - 02.01.2022 09:00","10842","10168"
"02.01.2022 09:00 - 02.01.2022 10:00","11155","10584"
"02.01.2022 10:00 - 02.01.2022 11:00","11428","10877"
"02.01.2022 11:00 - 02.01.2022 12:00","11574","10946"
"02.01.2022 12:00 - 02.01.2022 13:00","11608","10988"
"02.01.2022 13:00 - 02.01.2022 14:00","11554","10971"
"02.01.2022 14:00 - 02.01.2022 15:00","11581","11076"
"02.01.2022 15:00 - 02.01.2022 16:00","11797","11300"
"02.01.2022 16:00 - 02.01.2022 17:00","12084","11442"
"02.01.2022 17:00 - 02.01.2022 18:00","12199","11521"
"02.01.2022 18:00 - 02.01.2022 19:00","12076","11441"
"02.01.2022 19:00 - 02.01.2022 20:00","11850","11225"
"02.01.2022 20:00 - 02.01.2022 21:00","11532","10891"
"02.01.2022 21:00 - 02.01.2022 22:00","11134","10419"
"02.01.2022 22:00 - 02.01.2022 23:00","10682","10156"
"02.01.2022 23:00 - 03.01.2022 00:00","10263","9666"
"03.01.2022 00:00 - 03.01.2022 01:00","9802","9517"
"03.01.2022 01:00 - 03.01.2022 02:00","9593","9300"
"03.01.2022 02:00 - 03.01.2022 03:00","9502","9110"
"03.01.2022 03:00 - 03.01.2022 04:00","9482","9131"
"03.01.2022 04:00 - 03.01.2022 05:00","9599","9325"
"03.01.2022 05:00 - 03.01.2022 06:00","9921","9552"
"03.01.2022 06:00 - 03.01.2022 07:00","10634","10405"
"03.01.2022 07:00 - 03.01.2022 08:00","11304","11408"
"03.01.2022 08:00 - 03.01.2022 09:00","11688","11869"
"03.01.2022 09:00 - 03.01.2022 10:00","11778","11957"
"03.01.2022 10:00 - 03.01.2022 11:00","11977","12031"
"03.01.2022 11:00 - 03.01.2022 12:00","12024","12217"
"03.01.2022 12:00 - 03.01.2022 13:00","11997","12266"
"03.01.2022 13:00 - 03.01.2022 14:00","11945","12312"
"03.01.2022 14:00 - 03.01.2022 15:00","11955","12382"
"03.01.2022 15:00 - 03.01.2022 16:00","12190","12622"
"03.01.2022 16:00 - 03.01.2022 17:00","12331","12716"
"03.01.2022 17:00 - 03.01.2022 18:00","12335","12743"
"03.01.2022 18:00 - 03.01.2022 19:00","12133","12440"
"03.01.2022 19:00 - 03.01.2022 20:00","11856","12085"
"03.01.2022 20:00 - 03.01.2022 21:00","11496","11693"
"03.01.2022 21:00 - 03.01.2022 22:00","11105","11242"
"03.01.2022 22:00 - 03.01.2022 23:00","10722","10758"
"03.01.2022 23:00 - 04.01.2022 00:00","10370","10328"
"04.01.2022 00:00 - 04.01.2022 01:00","9656","10055"
"04.01.2022 01:00 - 04.01.2022 02:00","9529","9857"
"04.01.2022 02:00 - 04.01.2022 03:00","9546","9796"
"04.01.2022 03:00 - 04.01.2022 04:00","9653","9814"
"04.01.2022 04:00 - 04.01.2022 05:00","9857","9992"
"04.01.2022 05:00 - 04.01.2022 06:00","10238","10407"
"04.01.2022 06:00 - 04.01.2022 07:00","10995","11184"
"04.01.2022 07:00 - 04.01.2022 08:00","11718","12123"
"04.01.2022 08:00 - 04.01.2022 09:00","12131","12754"
"04.01.2022 09:00 - 04.01.2022 10:00","12212","12696"
"04.01.2022 10:00 - 04.01.2022 11:00","12349","12780"
"04.01.2022 11:00 - 04.01.2022 12:00","12350","12857"
"04.01.2022 12:00 - 04.01.2022 13:00","12319","12727"
"04.01.2022 13:00 - 04.01.2022 14:00","12265","12607"
"04.01.2022 14:00 - 04.01.2022 15:00","12297","12830"
"04.01.2022 15:00 - 04.01.2022 16:00","12573","13264"
"04.01.2022 16:00 - 04.01.2022 17:00","12794","13575"
"04.01.2022 17:00 - 04.01.2022 18:00","12843","13696"
"04.01.2022 18:00 - 04.01.2022 19:00","12674","13498"
"04.01.2022 19:00 - 04.01.2022 20:00","12422","13165"
"04.01.2022 20:00 - 04.01.2022 21:00","12106","12709"
"04.01.2022 21:00 - 04.01.2022 22:00","11710","12213"
"04.01.2022 22:00 - 04.01.2022 23:00","11287","11727"
"04.01.2022 23:00 - 05.01.2022 00:00","10896","11178"
"05.01.2022 00:00 - 05.01.2022 01:00","10644","10844"
"05.01.2022 01:00 - 05.01.2022 02:00","10424","10675"
"05.01.2022 02:00 - 05.01.2022 03:00","10385","10481"
"05.01.2022 03:00 - 05.01.2022 04:00","10367","10483"
"05.01.2022 04:00 - 05.01.2022 05:00","10484","10618"
"05.01.2022 05:00 - 05.01.2022 06:00","10855","10955"
"05.01.2022 06:00 - 05.01.2022 07:00","11677","11816"
"05.01.2022 07:00 - 05.01.2022 08:00","12411","12736"
"05.01.2022 08:00 - 05.01.2022 09:00","12829","13257"
"05.01.2022 09:00 - 05.01.2022 10:00","12940","13359"
"05.01.2022 10:00 - 05.01.2022 11:00","13071","13495"
"05.01.2022 11:00 - 05.01.2022 12:00","13139","13570"
"05.01.2022 12:00 - 05.01.2022 13:00","13135","13598"
"05.01.2022 13:00 - 05.01.2022 14:00","13047","13567"
"05.01.2022 14:00 - 05.01.2022 15:00","13049","13585"
"05.01.2022 15:00 - 05.01.2022 16:00","13235","13925"
"05.01.2022 16:00 - 05.01.2022 17:00","13496","14111"
"05.01.2022 17:00 - 05.01.2022 18:00","13562","14008"
"05.01.2022 18:00 - 05.01.2022 19:00","13410","13821"
"05.01.2022 19:00 - 05.01.2022 20:00","13099","13622"
"05.01.2022 20:00 - 05.01.2022 21:00","12718","13260"
"05.01.2022 21:00 - 05.01.2022 22:00","12294","12676"
"05.01.2022 22:00 - 05.01.2022 23:00","11916","12331"
"05.01.2022 23:00 - 06.01.2022 00:00","11580","11928"
"06.01.2022 00:00 - 06.01.2022 01:00","11314","11525"
