Datum,Förbrukning Mwh exkl. avk.last,Förbrukning Mwh >50 MW,Avkopplingsb. last,Timmätta förluster,ospec_prod,vattenkraft_prod,vindkraft_prod,karnkraft_prod,varmekraft_prod,solkraft_prod,Schablonleverans förbrukning,Schablonleverans förluster,total_produktion,total_forbrukning,Day-ahead Price [EUR/MWh]
1.1.2022 0:00,4600,715,23.18,262,8.55,839,1091,5861,929,0.075,3597,300.2,8728.625,9497.38,46.6
1.1.2022 1:00,4607,717,23.93,253,8.56,844,1005,5861,867,0.069,3522,293.8,8585.629,9416.73,41.33
1.1.2022 2:00,4585,720,24.18,257,8.57,847,905,5860,848,0.073,3441,287,8468.643,9314.18,42.18
1.1.2022 3:00,4573,729,24.43,268,8.72,865,818,5860,856,0.075,3379,281.7,8407.795,9255.13,44.37
1.1.2022 4:00,4596,728,25.03,254,8.74,879,785,5859,861,0.072,3374,281.3,8392.812,9258.33,37.67
1.1.2022 5:00,4636,729,25.53,270,8.56,882,701,5860,872,0.078,3416,284.9,8323.638,9361.43,39.7
1.1.2022 6:00,4732,730,25.51,271,8.35,887,504,5858,910,0.077,3491,291,8167.427,9540.51,40.59
1.1.2022 7:00,4862,733,26.83,297,7.92,901,402,5860,969,0.088,3589,299.1,8140.008,9806.93,43.26
1.1.2022 8:00,4984,709,27.21,300,7.24,928,298,5859,1002,0.1,3714,309.6,8094.34,10043.81,49.66
1.1.2022 9:00,5027,721,26.23,314,7.28,940,211,5859,1023,0.529,3881,323.8,8040.809,10293.03,70.05
1.1.2022 10:00,5107,718,19.99,328,7.27,952,145,5859,1062,1.606,4107,342.8,8026.876,10622.79,76.79
1.1.2022 11:00,5118,729,13.58,300,7.26,970,118,5878,1087,2.55,4298,359.1,8062.81,10817.68,84.1
1.1.2022 12:00,5149,724,9.57,296,7.27,974,110,6052,1093,2.233,4385,366.5,8238.503,10930.07,94.74
1.1.2022 13:00,5188,733,9.59,296,7.29,969,148,6194,1096,1.642,4425,369.9,8415.932,11021.49,96.8
1.1.2022 14:00,5254,736,9.59,295,7.32,999,250,6258,1101,0.625,4505,376.7,8615.945,11176.29,97.17
1.1.2022 15:00,5349,743,9.54,288,7.26,1117,379,6257,1110,0.15,4675,391,8870.41,11455.54,101.27
1.1.2022 16:00,5369,739,9.5,290,7.43,1260,545,6311,1120,0.114,4833,404.2,9243.544,11644.7,126.6
1.1.2022 17:00,5383,701,9.48,285,7.5,1282,651,6325,1125,0.14,4902,410.1,9390.64,11690.58,149.97
1.1.2022 18:00,5336,685,9.67,295,7.5,1273,895,6323,1127,0.132,4869,407.4,9625.632,11602.07,146.33
1.1.2022 19:00,5252,699,9.72,303,7.5,1222,1186,6329,1126,0.102,4734,396,9870.602,11393.72,140.28
1.1.2022 20:00,5098,697,9.69,310,7.5,1176,1382,6331,1127,0.096,4548,380.5,10023.596,11043.19,121.88
1.1.2022 21:00,4972,689,9.64,323,7.51,1019,1576,6331,1101,0.092,4359,364.7,10034.602,10717.34,102.61
1.1.2022 22:00,4874,707,9.68,329,7.57,916,1666,6333,1086,0.087,4164,348.1,10008.657,10431.78,95.12
1.1.2022 23:00,4817,732,15.31,334,7.62,857,1611,6336,1056,0.085,3941,329.3,9867.705,10168.61,83.11
2.1.2022 0:00,4675,716,19.28,354,50.7,819,1584,6336,944,0.082,3726,311.2,9733.782,9801.48,34.73
2.1.2022 1:00,4622,694,20.14,343,8.34,811,1532,6336,862,0.086,3571,298.2,9549.426,9548.34,34.39
2.1.2022 2:00,4609,667,20.52,331,8.6,805,1452,6336,836,0.077,3484,291.1,9437.677,9402.62,34.36
2.1.2022 3:00,4590,685,19.44,286,8.3,800,1457,6335,811,0.081,3413,285.3,9411.381,9278.74,34.1
2.1.2022 4:00,4624,667,19.19,260,8.04,798,1391,6336,822,0.075,3383,282.7,9355.115,9235.89,29.56
2.1.2022 5:00,4636,618,21.58,261,8.12,809,1260,6338,825,0.079,3382,282.6,9240.199,9201.18,33.97
2.1.2022 6:00,4771,595,21.39,266,7.01,845,1252,6338,827,0.077,3412,285.1,9269.087,9350.49,34.52
2.1.2022 7:00,4901,617,20.99,258,6.9,860,1263,6336,831,0.08,3482,290.8,9296.98,9569.79,41.8
2.1.2022 8:00,5002,610,21.03,273,6.85,894,1296,6337,871,0.1,3618,302.1,9404.95,9826.13,48.95
2.1.2022 9:00,5063,628,23.26,295,6.93,922,1206,6337,925,0.346,3775,315.4,9397.276,10099.66,60.01
2.1.2022 10:00,5228,620,24.2,293,6.89,979,1175,6337,975,0.89,3942,329.6,9473.78,10436.8,70.09
2.1.2022 11:00,5262,612,22.39,288,6.86,983,1214,6336,1003,1.71,4061,339.8,9544.57,10585.19,66.26
2.1.2022 12:00,5291,596,21.87,306,6.96,986,1290,6336,991,1.668,4118,344.8,9611.628,10677.67,64.54
2.1.2022 13:00,5304,590,21.6,304,7.08,986,1321,6336,971,1.164,4113,344.5,9622.244,10677.1,46.96
2.1.2022 14:00,5341,588,21.91,331,3.5,1054,1229,6366,974,0.508,4118,344.9,9627.008,10744.81,49.06
2.1.2022 15:00,5474,611,20.75,322,2.08,1214,1147,6390,990,0.113,4258,356.6,9743.193,11042.35,74.99
